level,kode,nama_wilayah,parent_provinsi,parent_kabupaten,jumlah_desa,luas_wilayah,keterangan
provinsi,11,ACEH,ACEH,,6500.0,56834.746,
kabupaten,11.01,KAB. ACEH SELATAN,,KAB. ACEH SELATAN,260.0,4175.0,Luas Wilayah Definitif sesuai Surat Kapus PPBW BIG No.  B-3.11/PBW-BIG/IGD.04.04/10/2022 Tanggal 3 Oktober 2022.
kabupaten,11.01,KAB.,,KAB.,260.0,4175.375,Luas Wilayah Definitif sesuai Surat Kapus PPBW BIG No.
kecamatan,11.01.01,,,KAB.,7.0,,
kecamatan,11.01.01,Bakongan,,KAB. ACEH SELATAN,7.0,,
desa,11.01.01.2001,,,KAB.,1.0,,
desa,11.01.01.2002,,,KAB.,2.0,,Perbaikan nama sesuai Surat Pemkab Aceh Selatan No.140/819/2016
desa,11.01.01.2003,,,KAB.,3.0,,Perbaikan nama sesuai Surat Pemkab Aceh Selatan No.140/819/2016
desa,11.01.01.2004,,,KAB.,4.0,,Perbaikan nama sesuai Surat Pemkab Aceh Selatan No.140/819/2016
desa,11.01.01.2015,,,KAB.,5.0,,Pemekaran
desa,11.01.01.2016,,,KAB.,6.0,,"Pemekaran Desa, Qonun No. 6/2010, Perbaikan nama sesuai Surat"
desa,11.01.01.2017,,,KAB.,7.0,,Pemekaran
kecamatan,11.01.02,,,KAB.,21.0,,
kecamatan,11.01.02,Kluet Utara,,KAB. ACEH SELATAN,21.0,,
desa,11.01.02.2001,,,KAB.,1.0,,
desa,11.01.02.2002,,,KAB.,2.0,,
desa,11.01.02.2003,,,KAB.,3.0,,
desa,11.01.02.2004,,,KAB.,4.0,,"Perbaikan nama desa semula Gunung Pulo menjadi Gunong Pulo,"
desa,11.01.02.2005,,,KAB.,5.0,,Perbaikan nama sesuai Surat Pemkab Aceh Selatan No.140/819/2016
desa,11.01.02.2006,,,KAB.,6.0,,
desa,11.01.02.2008,,,,,,
desa,11.01.02.2009,,,,,,
desa,11.01.02.2010,,,,,,
desa,11.01.02.2011,,,,,,
desa,11.01.02.2012,,,,,,
desa,11.01.02.2013,,,,,,
desa,11.01.02.2014,,,,,,"Perbaikan nama Desa Simpang Dua sesuai Surat Pemkab Aceh  Selatan No.140/819/2016 tgl 14 okt 2016, Rekomedasi Ditjen Bina  Pemdes No. 146/3672/BPD tgl 21 Juni 2017 dan Surat Pemkab Aceh  Selatan No.140/810/2017 tgl 13 Okt 2017"
desa,11.01.02.2015,,,,,,"Perbaikan nama Desa Simpang Tiga sesuai Surat Pemkab Aceh  Selatan No.140/819/2016 tgl 14 okt 2016, Rekomedasi Ditjen Bina  Pemdes No. 146/3672/BPD tgl 21 Juni 2017 dan Surat Pemkab Aceh  Selatan No.140/810/2017 tgl 13 Okt 2017"
desa,11.01.02.2016,,,,,,
desa,11.01.02.2017,,,,,,Perbaikan nama sesuai Surat Pemkab Aceh Selatan No.140/819/2016  tgl 14 okt 2016 dan Rekomedasi Ditjen Bina Pemdes No. 146/3672/BPD  tgl 21 Juni 2017
desa,11.01.02.2018,,,,,,Perbaikan nama sesuai Surat Pemkab Aceh Selatan No.140/819/2016  tgl 14 okt 2016 dan Rekomedasi Ditjen Bina Pemdes No. 146/3672/BPD  tgl 21 Juni 2017
desa,11.01.02.2019,,,,,,
desa,11.01.02.2020,,,,,,"Pemekaran Desa, Qonun No. 6/2010"
desa,11.01.02.2021,,,,,,"Pemekaran Desa, Qonun No. 6/2010"
kecamatan,11.01.03,,,,,,
kecamatan,11.01.03,Kluet Selatan,,KAB. ACEH SELATAN,17.0,,
desa,11.01.03.2001,,,,,,Perbaikan nama sesuai Surat Pemkab Aceh Selatan No.140/819/2016  tgl 14 okt 2016 dan Rekomedasi Ditjen Bina Pemdes No. 146/3672/BPD  tgl 21 Juni 2017
