K O D E,"NAMA PROVINSI /
KABUPATEN / KOTA",JUMLAH,,N A M A / J U M L A H,,,"LUAS
WILAYAH
(Km2)",K E T E R A N G A N
,,KAB,KOTA,KECAMATAN,KELURAHAN,D E S A,,
51.02.08.2002,,,,,,2 Jegu,,
51.02.08.2003,,,,,,3 Riang Gede,,
51.02.08.2004,,,,,,4 Buruan,,
51.02.08.2005,,,,,,5 Biaung,,
51.02.08.2006,,,,,,6 Pitra,,
51.02.08.2007,,,,,,7 Penatahan,,
51.02.08.2008,,,,,,8 Tengkudak,,
51.02.08.2009,,,,,,9 Mengesta,,
51.02.08.2010,,,,,,10 Penebel,,
51.02.08.2011,,,,,,11 Babahan,,"Perbaikan Nama dari Babakan menjadi Babahan sesuai sesuai Kep
Bup. Tabanan No. 99 Tahun 2013, Surat Kepala DPMD Kab. Tabanan
No. 414.4/101/DPMD tanggal 18 Januari 2021, Surat Sesditjen Bina
Pemerintahan Desa No. 145/2430/BPD tanggal 24 Mei 2021."
51.02.08.2012,,,,,,12 Senganan,,
51.02.08.2013,,,,,,13 Jatiluwih,,
51.02.08.2014,,,,,,14 Wongaya Gede,,
51.02.08.2015,,,,,,15 Tajen,,
51.02.08.2016,,,,,,16 Tegallinggah,,
51.02.08.2017,,,,,,17 Pesagi,,
51.02.08.2018,,,,,,18 Sangketan,,
51.02.09,,,,9Baturiti,-,12,,
51.02.09.2001,,,,,,1 Perean,,
51.02.09.2002,,,,,,2 Luwus,,
51.02.09.2003,,,,,,3 Apuan,,
51.02.09.2004,,,,,,4 Angseri,,
51.02.09.2005,,,,,,5 Bangli,,
51.02.09.2006,,,,,,6 Baturiti,,
51.02.09.2007,,,,,,7 Antapan,,
51.02.09.2008,,,,,,8 Candikuning,,
51.02.09.2009,,,,,,9 Mekarsari,,
51.02.09.2010,,,,,,10 Batunya,,
51.02.09.2011,,,,,,11 Perean Tengah,,
51.02.09.2012,,,,,,12 Perean Kangin,,
51.02.10,,,,10Pupuan,-,14,,
51.02.10.2001,,,,,,1 Belimbing,,
51.02.10.2002,,,,,,2 Sanda,,
51.02.10.2003,,,,,,3 Batungsel,,
51.02.10.2004,,,,,,4 Kebon Padangan,,
51.02.10.2005,,,,,,5 Munduktemu,,"Perbaikan nama desa semula Munduk Temu menjadi Munduktemu
sesuai Surat Pernyataan Perbekel Desa Munduktemu."
51.02.10.2006,,,,,,6 Pujungan,,
,,,,,,,,
