K O D E,"NAMA PROVINSI /
KABUPATEN / KOTA",JUMLAH,,N A M A / J U M L A H,,,,,"LUAS
WILAYAH
(Km2)",K E T E R A N G A N
,,KAB,KOTA,KECAMATAN,,KELURAHAN,,D E S A,,
51,BALI,,,,,,,,,
51.04,KAB. GIANYAR,,,,7,,6,64,"364,358","Luas Wilayah Definitif sesuai Surat Kapus PPBW BIG No. B-3.11/PBW-
BIG/IGD.04.04/10/2022 Tanggal 3 Oktober 2022"
,,,,,,,,,,
51.04.01,,,,1,Sukawati,,-,12,,
51.04.01.2001,,,,,,0,,1 Batubulan,,
51.04.01.2002,,,,,,0,,2 Ketewel,,
51.04.01.2003,,,,,,0,,3 Guwang,,
51.04.01.2004,,,,,,0,,4 Sukawati,,
51.04.01.2005,,,,,,0,,5 Celuk,,
51.04.01.2006,,,,,,0,,6 Singapadu,,
51.04.01.2007,,,,,,0,,7 Batuan,,
51.04.01.2008,,,,,,0,,8 Kemenuh,,
51.04.01.2009,,,,,,0,,9 Batubulan Kangin,,
51.04.01.2010,,,,,,0,,10 Singapadu Tengah,,
51.04.01.2011,,,,,,0,,11 Singapadu Kaler,,
51.04.01.2012,,,,,,0,,12 Batuan Kaler,,
51.04.02,,,,2,Blahbatuh,,-,9,,
51.04.02.2001,,,,,,0,,1 Saba,,
51.04.02.2002,,,,,,0,,2 Pering,,
51.04.02.2003,,,,,,0,,3 Keramas,,
51.04.02.2004,,,,,,0,,4 Belega,,
51.04.02.2005,,,,,,0,,5 Blahbatuh,,
51.04.02.2006,,,,,,0,,6 Buruan,,
51.04.02.2007,,,,,,0,,7 Bedulu,,
51.04.02.2008,,,,,,0,,8 Medahan,,
51.04.02.2009,,,,,,0,,9 Bona,,
51.04.03,,,,3,Gianyar,,5,12,,
51.04.03.2001,,,,,,0,,1 Tulikup,,
51.04.03.2002,,,,,,0,,2 Sidan,,
51.04.03.1003,,,,,,1,Samplangan,0,,
51.04.03.2004,,,,,,0,,3 Lebih,,
51.04.03.1005,,,,,,2,Abianbase,0,,
51.04.03.1006,,,,,,3,Gianyar,0,,
51.04.03.1007,,,,,,4,Bitera,0,,
51.04.03.1008,,,,,,5,Beng,0,,
51.04.03.2009,,,,,,0,,4 Bakbakan,,"Koreksi nama, Srt PMD 140/4474/Pemdes/2016 tgl 12 April 2016"
51.04.03.2010,,,,,,0,,5 Siangan,,
51.04.03.2011,,,,,,0,,6 Suwat,,
51.04.03.2012,,,,,,0,,7 Petak,,
51.04.03.2013,,,,,,0,,8 Serongga,,
