K O D E,"NAMA PROVINSI /
KABUPATEN / KOTA",JUMLAH,,N A M A / J U M L A H,,,"LUAS
WILAYAH
(Km2)",K E T E R A N G A N
,,KAB,KOTA,KECAMATAN,KELURAHAN,D E S A,,
73.02.07.2014,,,,,,11 Balangpesoang,,"Koreksi nama 'Balang Pesoang' Srt Ditjen BPD No 140/5118/BPD tgl 18
Juli 2019"
73.02.07.2015,,,,,,12 Batulohe,,
73.02.07.2016,,,,,,13 Bontomangiring,,"Koreksi nama 'Bonto Mangiring' Srt Ditjen BPD No 140/5118/BPD tgl 18
Juli 2019"
73.02.07.2017,,,,,,14 Baruga Riattang,,"Pemekaran sebagian Desa Kambuno, Perda No. 9/2010"
73.02.08,,,,8Kindang,1,12,,
73.02.08.1001,,,,,1Borong Rappoa,,,
73.02.08.2002,,,,,,1 Mattirowalie,,"Koreksi nama 'Mattiro Walie' Srt Ditjen BPD No 140/5118/BPD tgl 18 Juli
2019"
73.02.08.2003,,,,,,2 Kindang,,
73.02.08.2004,,,,,,3 Arinhua,,
73.02.08.2005,,,,,,4 Tamaona,,
73.02.08.2006,,,,,,5 Benteng Palioi,,
73.02.08.2007,,,,,,6 Balibo,,
73.02.08.2008,,,,,,7 Garuntungan,,
73.02.08.2009,,,,,,8 Orogading,,"Koreksi nama 'Oro Gading' Srt Ditjen BPD No 140/5118/BPD tgl 18 Juli
2019"
73.02.08.2010,,,,,,9 Sipaenre,,"Pemekaran sebagian Desa Anrihua, Perda No. 9/2010"
73.02.08.2011,,,,,,10 Kahayya,,"Pemekaran sebagian Desa Kindang, Perda No. 9/2010"
73.02.08.2012,,,,,,11 Somba Palioli,,"Pemekaran sebagian Desa Benteng Palioli, Perda No. 9/2010"
73.02.08.2013,,,,,,12 Sopa,,"Pemekaran sebagian Desa Mattirowalie, Perda No. 9/2010"
73.02.09,,,,9Ujungloe,1,12,,
73.02.09.1001,,,,,1Dannuang,,,
73.02.09.2002,,,,,,1 Garanta,,
73.02.09.2003,,,,,,2 Balleanging,,"Koreksi nama 'Balle Angin' Srt Ditjen BPD No 140/5118/BPD tgl 18 Juli
2019"
73.02.09.2004,,,,,,3 Balong,,
73.02.09.2005,,,,,,4 Seppang,,
73.02.09.2006,,,,,,5 Manyampa,,
73.02.09.2007,,,,,,6 Tammatto,,
73.02.09.2008,,,,,,7 Padangloang,,"Koreksi nama 'Padang Loang' Srt Ditjen BPD No 140/5118/BPD tgl 18
Juli 2019"
73.02.09.2009,,,,,,8 Manjalling,,
73.02.09.2010,,,,,,9 Lonrong,,
73.02.09.2011,,,,,,10 Salemba,,
73.02.09.2012,,,,,,11 Bijawang,,
73.02.09.2013,,,,,,12 Paccaramengang,,"Pemekaran sebagian Desa Balleanging, Perda No. 9/2010"
73.02.10,,,,10Rilauale,1,14,,
73.02.10.2001,,,,,,1 Bontomanai,,"Koreksi nama 'Bonto Manai' Srt Ditjen BPD No 140/5118/BPD tgl 18 Juli
2019"
73.02.10.1002,,,,,1Palampang,,,
,,,,,,,,
