NO,KODE,"NAMA PROVINSI,
KABUPATEN / KOTA,
KECAMATAN",IBUKOTA,J U M L A H,,,,,"LUAS
WILAYAH
(Km2) *","JUMLAH
PENDUDUK
(Jiwa) **",K ET E R A N G A N
,,,,KAB,KOTA,KEC,KEL,DESA,,,
,81.04.12,7 Waelata,,,,,,10,,,Pemekaran Kec. Waeapo Perda No. 21/2012
,81.04.13,8 Fena Leisela,,,,,,13,,,Pemekaran Kec. Airbuaya Perda No. 22/2012
,81.04.14,9 Teluk Kaiely,,,,,,5,,,Pemekaran Kec. Waeapo & Batubual Perda No. 23/2012
,81.04.15,10 Lilialy,,,,,,5,,,Pemekaran Kec. Namlea Perda No. 24/2012
,81.05,5 KAB. SERAM BAGIAN TIMUR,Dataran Hunimoa,,,15,0,198,5.725,136.903,"Luas Wilayah Definitif sesuai Surat Kapus PPBW BIG No.
B-3.11/PBW-BIG/IGD.04.04/10/2022 Tanggal 3 Oktober 2022"
,81.05.01,1 Bula,,,,,,10,,,
,81.05.02,2 Seram Timur,,,,,,16,,,
,81.05.03,3 Werinama,,,,,,10,,,
,81.05.04,4 Pulau Gorom,,,,,,24,,,
,81.05.05,5 Wakate,,,,,,18,,,Perda No. 5/2008
,81.05.06,6 Tutuk Tolu,,,,,,11,,,Perda No. 6/2008
,81.05.07,7 Siwalalat,,,,,,12,,,Pemekaran Kec. Werinama Perda No. 12/2010
,81.05.08,8 Kilmury,,,,,,14,,,Pemekaran Kec. Seram Timur Perda No. 13/2010
,81.05.09,9 Pulau Panjang,,,,,,6,,,Pemekaran Kec. Pulau Gorom Perda No. 12/2011
,81.05.10,10 Teor,,,,,,10,,,Pemekaran Kec. Wakate Perda No. 13/2011
,81.05.11,11 Gorom Timur,,,,,,23,,,Pemekaran Kec. Pulau Gorom Perda No. 14/2011
,81.05.12,12 Bula Barat,,,,,,13,,,Pemekaran Kec. Bula Perda No. 25/2011
,81.05.13,13 Kian Darat,,,,,,10,,,Pemekaran Kec. Seram Timur Perda No. 11/2012
,81.05.14,14 Siritaun Wida Timur,,,,,,10,,,Pemekaran Kec. Seram Timur Perda No. 11/2012
,81.05.15,15 Teluk Waru,,,,,,11,,,Pemekaran Kec. Bula Perda No. 11/2012
,81.06,6 KAB. SERAM BAGIAN BARAT,Dataran Hunipopu,,,11,0,92,5.017,212.960,"Luas Wilayah Definitif, PAWAP & PGP, sesuai Surat Kapus PPBW
BIG No. B-3.11/PBW-BIG/IGD.04.04/10/2022 Tanggal 3 Oktober
2022"
,81.06.01,1 Kairatu,,,,,,7,,,Semula wil Kab. Malteng UU No. 40/2003
,81.06.02,2 Seram Barat,,,,,,7,,,Semula wil Kab. Malteng UU No. 40/2003
,81.06.03,3 Taniwel,,,,,,19,,,Semula wil Kab. Malteng UU No. 40/2003
,81.06.04,4 Huamual Belakang,,,,,,7,,,Semula wil Kab. Malteng UU No. 40/2003
,81.06.05,5 Amalatu,,,,,,7,,,Pemekaran Kec. Kairatu Perda No. 4/2010
,81.06.06,6 Inamosol,,,,,,5,,,Pemekaran Kec. Kairatu Perda No. 5/2010
,81.06.07,7 Kairatu Barat,,,,,,6,,,Pemekaran Kec. Kairatu Perda No. 6/2010
,81.06.08,8 Huamual,,,,,,5,,,Pemekaran Kec. Seram Barat Perda No. 7/2010
,81.06.09,9 Kepulauan Manipa,,,,,,7,,,Pemekaran Kec. Huamual Belakang Perda No. 8/2010
,81.06.10,10 Taniwel Timur,,,,,,15,,,Pemekaran Kec. Taniwel Perda No. 9/2010
,81.06.11,11 Elpaputih,,,,,,7,,,Pemekaran Kecamatan Perda No. 10/2010 dan Perda No. 11/2011
