NO,KODE,NAMA PROVINSI *,JUMLAH PULAU **
1,11,ACEH,363
2,12,SUMATERA UTARA,229
3,13,SUMATERA BARAT,219
4,14,RIAU,144
5,15,JAMBI,14
6,16,SUMATERA SELATAN,24
7,17,BENGKULU,9
8,18,LAMPUNG,172
9,19,KEPULAUAN BANGKA BELITUNG,507
10,21,KEPULAUAN RIAU,"2,028"
11,31,DKI JAKARTA,113
12,32,JAWA BARAT,30
13,33,JAWA TENGAH,71
14,34,DAERAH ISTIMEWA YOGYAKARTA,33
15,35,JAWA TIMUR,512
16,36,BANTEN,81
17,51,BALI,34
18,52,NUSA TENGGARA BARAT,403
19,53,NUSA TENGGARA TIMUR,609
20,61,KALIMANTAN BARAT,251
21,62,KALIMANTAN TENGAH,71
22,63,KALIMANTAN SELATAN,165
23,64,KALIMANTAN TIMUR,243
24,65,KALIMANTAN UTARA,196
25,71,SULAWESI UTARA,353
26,72,SULAWESI TENGAH,"1,572"
