Kode Pulau,"Nama Provinsi, Kabupaten/Kota, Pulau",Jumlah,Kordinat,Keterangan
11.09.40136,Pulau Tupai,,"02°39'11.99"" U 096°07'50.99"" T",TBP
11.09.40137,Pulau Tupai,,"02°50'31.81"" U 095°47'14.41"" T",
11.09.40138,Pulau Tupai Selatan,,"02°39'02.80"" U 096°07'48.94"" T",
11.09.40139,Pulau Ujung Klerek Sebeul,,"02°29'35.16"" U 096°23'46.12"" T",
11.09.40140,Pulau Ujung Klerek Sitok,,"02°29'25.18"" U 096°23'49.17"" T",
11.09.40141,Pulau Ujung Linggi,,"02°30'17.03"" U 096°23'03.59"" T",
11.09.40142,Pulau Ujung Suak,,"02°39'10.99"" U 096°08'40.20"" T",
11.09.40143,Pulau Ujung Tupai,,"02°38'54.29"" U 096°07'44.27"" T",
11.09.40144,Pulau Ulau Fatuhek,,"02°23'03.03"" U 096°19'57.26"" T",TBP
11.10,KAB. ACEH SINGKIL,80,,
11.10.40001,Pulau Asok,,"02°15'43.99"" U 097°19'45.00"" T",TBP
11.10.40002,Pulau Baguk,,"02°17'33.00"" U 097°24'10.00"" T",BP
11.10.40003,Pulau Balai,,"02°18'13.00"" U 097°24'27.00"" T",BP
11.10.40004,Pulau Balong,,"02°18'07.99"" U 097°14'42.00"" T",TBP
11.10.40005,Pulau Bangkaru,,"02°04'10.99"" U 097°06'56.99"" T",TBP
11.10.40006,Pulau Baronik,,"02°06'23.71"" U 097°21'07.53"" T",TBP
11.10.40007,Pulau Batubangkaru,,"02°06'22.71"" U 097°05'15.73"" T",TBP
11.10.40008,Pulau Batulanting,,"02°14'10.82"" U 097°10'07.79"" T",TBP
11.10.40009,Pulau Bekhu,,"02°03'29.00"" U 097°21'10.00"" T",TBP
11.10.40010,Pulau Biawak,,"02°16'49.00"" U 097°20'26.00"" T",TBP
11.10.40011,Pulau Birahan,,"02°11'20.00"" U 098°02'16.00"" T",TBP
11.10.40012,Pulau Buaya,,"02°06'46.18"" U 097°21'02.23"" T",TBP
11.10.40013,Pulau Busung Besar,,"02°12'49.00"" U 097°12'33.99"" T",TBP
11.10.40014,Pulau Busung Kecil,,"02°12'51.84"" U 097°12'29.74"" T",TBP
11.10.40015,Pulau Cemara,,"02°15'54.46"" U 097°47'50.04"" T",TBP
11.10.40016,Pulau Dua,,"02°11'12.99"" U 097°19'36.99"" T",TBP
11.10.40017,Pulau Gosongtelaga,,"02°16'31.00"" U 097°56'13.99"" T",BP
11.10.40018,Pulau Inakuri,,"02°12'58.69"" U 097°18'11.04"" T",TBP
11.10.40019,Pulau Jawijawi,,"02°22'58.84"" U 097°33'41.99"" T",TBP
11.10.40020,Pulau Keder,,"02°22'50.59"" U 097°51'12.99"" T",TBP
11.10.40021,Pulau Kilangan,,"02°17'34.00"" U 097°46'01.02"" T",BP
11.10.40022,Pulau Ladangbisik,,"02°29'22.48"" U 097°51'15.12"" T",TBP
11.10.40023,Pulau Lambudung,,"02°14'52.00"" U 097°20'34.00"" T",TBP
11.10.40024,Pulau Lamun,,"02°15'27.00"" U 097°12'29.00"" T",TBP
11.10.40025,Pulau Lasawun,,"02°13'58.07"" U 097°14'34.53"" T",TBP
11.10.40026,Pulau Laurek,,"02°15'19.00"" U 097°17'57.00"" T",TBP
11.10.40027,Pulau Linau,,"02°14'34.62"" U 097°12'35.76"" T",TBP
11.10.40028,Pulau Madang,,"02°18'09.00"" U 097°13'54.99"" T",TBP
11.10.40029,Pulau Madangkati,,"02°15'19.00"" U 097°11'08.99"" T",TBP
11.10.40030,Pulau Malelo,,"02°15'19.07"" U 097°25'19.51"" T",TBP
