NO,KODE,NAMA,"JUMLAH
PULAU",KETERANGAN
,12,SUMATERA UTARA,8,
1,12.01,KAB. TAPANULI TENGAH,31,
2,12.02,KAB. TAPANULI UTARA,1,
3,12.04,KAB. NIAS,5,
4,12.05,KAB. LANGKAT,10,
5,12.07,KAB. DELI SERDANG,1,
6,12.08,KAB. SIMALUNGUN,1,
7,12.09,KAB. ASAHAN,3,
8,12.10,KAB. LABUHANBATU,6,
9,12.13,KAB. MANDAILING NATAL,24,
10,12.14,KAB. NIAS SELATAN,87,
11,12.16,KAB. HUMBANG HASUNDUTAN,1,
12,12.17,KAB. SAMOSIR,5,
13,12.18,KAB. SERDANG BEDAGAI,2,
14,12.19,KAB. BATU BARA,2,
15,12.23,KAB. LABUHANBATU UTARA,2,
16,12.24,KAB. NIAS UTARA,19,
17,12.25,KAB. NIAS BARAT,11,
18,12.71,KOTA MEDAN,1,
19,12.73,KOTA SIBOLGA,2,
,,,,
