code,name,provinceCode,type
"11.01","ACEH SELATAN","11","KABUPATEN"
"11.03","ACEH TIMUR","11","KABUPATEN"
"11.06","ACEH BESAR","11","KABUPATEN"
"11.07","PIDIE","11","KABUPATEN"
"11.09","SIMEULUE","11","KABUPATEN"
"11.10","ACEH SINGKIL","11","KABUPATEN"
"11.14","ACEH JAYA","11","KABUPATEN"
"11.15","NAGAN RAYA","11","KABUPATEN"
"11.16","ACEH TAMIANG","11","KABUPATEN"
"11.71","BANDA ACEH","11","KOTA"
"11.72","SABANG","11","KOTA"
"11.74","LANGSA","11","KOTA"
"11.75","SUBULUSSALAM","11","KOTA"
"12.01","TAPANULI TENGAH","12","KABUPATEN"
"12.02","TAPANULI UTARA","12","KABUPATEN"
"12.04","NIAS","12","KABUPATEN"
"12.05","LANGKAT","12","KABUPATEN"
"12.07","DELI SERDANG","12","KABUPATEN"
"12.08","SIMALUNGUN","12","KABUPATEN"
"12.09","ASAHAN","12","KABUPATEN"
"12.10","LABUHANBATU","12","KABUPATEN"
"12.13","MANDAILING NATAL","12","KABUPATEN"
"12.14","NIAS SELATAN","12","KABUPATEN"
"12.16","HUMBANG HASUNDUTAN","12","KABUPATEN"
"12.17","SAMOSIR","12","KABUPATEN"
"12.19","BATU BARA","12","KABUPATEN"
"12.23","LABUHANBATU UTARA","12","KABUPATEN"
"12.24","NIAS UTARA","12","KABUPATEN"
"12.25","NIAS BARAT","12","KABUPATEN"
"12.71","MEDAN","12","KOTA"
"12.73","SIBOLGA","12","KOTA"
"12.74","TANJUNG BALAI","12","KOTA"
"13.01","PESISIR SELATAN","13","KABUPATEN"
"13.05","PADANG PARIAMAN","13","KABUPATEN"
"13.06","AGAM","13","KABUPATEN"
"13.09","KEPULAUAN MENTAWAI","13","KABUPATEN"
"13.12","PASAMAN BARAT","13","KABUPATEN"
"13.71","PADANG","13","KOTA"
"13.77","PARIAMAN","13","KOTA"
"14.01","KAMPAR","14","KABUPATEN"
"14.02","INDRAGIRI HULU","14","KABUPATEN"
"14.03","BENGKALIS","14","KABUPATEN"
"14.04","INDRAGIRI HILIR","14","KABUPATEN"
"14.05","PELALAWAN","14","KABUPATEN"
"14.07","ROKAN HILIR","14","KABUPATEN"
"14.08","SIAK","14","KABUPATEN"
"14.10","KEPULAUAN MERANTI","14","KABUPATEN"
"15.04","BATANGHARI","15","KABUPATEN"
"15.05","MUARO JAMBI","15","KABUPATEN"
"15.07","TANJUNG JABUNG TIMUR","15","KABUPATEN"
"16.02","OGAN KOMERING ILIR","16","KABUPATEN"
"16.03","MUARA ENIM","16","KABUPATEN"
"16.07","BANYUASIN","16","KABUPATEN"
"16.71","PALEMBANG","16","KOTA"
"17.03","BENGKULU UTARA","17","KABUPATEN"
"17.71","BENGKULU","17","KOTA"
"18.01","LAMPUNG SELATAN","18","KABUPATEN"
"18.04","LAMPUNG BARAT","18","KABUPATEN"
"18.06","TANGGAMUS","18","KABUPATEN"
"18.07","LAMPUNG TIMUR","18","KABUPATEN"
"18.09","PESAWARAN","18","KABUPATEN"
"18.71","BANDAR LAMPUNG","18","KOTA"
"19.01","BANGKA","19","KABUPATEN"
"19.02","BELITUNG","19","KABUPATEN"
"19.03","BANGKA SELATAN","19","KABUPATEN"
"19.04","BANGKA TENGAH","19","KABUPATEN"
"19.05","BANGKA BARAT","19","KABUPATEN"
"19.06","BELITUNG TIMUR","19","KABUPATEN"
"21.01","BINTAN","21","KABUPATEN"
"21.02","KARIMUN","21","KABUPATEN"
"21.03","NATUNA","21","KABUPATEN"
"21.04","LINGGA","21","KABUPATEN"
"21.05","KEPULAUAN ANAMBAS","21","KABUPATEN"
"21.71","BATAM","21","KOTA"
"21.72","TANJUNG PINANG","21","KOTA"
"31.01","KABUPATEN ADM. KEPULAUAN SERIBU","31","KABUPATEN"
"31.71","KOTA ADM. JAKARTA PUSAT","31","KOTA"
"31.72","KOTA ADM. JAKARTA UTARA","31","KOTA"
"31.73","KOTA ADM. JAKARTA BARAT","31","KOTA"
"31.74","KOTA ADM. JAKARTA SELATAN","31","KOTA"
"31.75","KOTA ADM. JAKARTA TIMUR","31","KOTA"
"32.02","SUKABUMI","32","KABUPATEN"
"32.03","CIANJUR","32","KABUPATEN"
"32.05","GARUT","32","KABUPATEN"
"32.06","TASIKMALAYA","32","KABUPATEN"
"32.12","INDRAMAYU","32","KABUPATEN"
"32.18","PANGANDARAN","32","KABUPATEN"
"33.01","CILACAP","33","KABUPATEN"
"33.05","KEBUMEN","33","KABUPATEN"
"33.17","REMBANG","33","KABUPATEN"
"33.20","JEPARA","33","KABUPATEN"
"34.03","GUNUNGKIDUL","34","KABUPATEN"
"35.01","PACITAN","35","KABUPATEN"
"35.03","TRENGGALEK","35","KABUPATEN"
"35.04","TULUNGAGUNG","35","KABUPATEN"
"35.05","BLITAR","35","KABUPATEN"
"35.07","MALANG","35","KABUPATEN"
"35.09","JEMBER","35","KABUPATEN"
"35.10","BANYUWANGI","35","KABUPATEN"
"35.12","SITUBONDO","35","KABUPATEN"
"35.13","PROBOLINGGO","35","KABUPATEN"
"35.15","SIDOARJO","35","KABUPATEN"
"35.25","GRESIK","35","KABUPATEN"
"35.27","SAMPANG","35","KABUPATEN"
"35.29","SUMENEP","35","KABUPATEN"
"36.01","PANDEGLANG","36","KABUPATEN"
"36.02","LEBAK","36","KABUPATEN"
"36.03","TANGERANG","36","KABUPATEN"
"36.04","SERANG","36","KABUPATEN"
"36.72","CILEGON","36","KOTA"
"51.01","JEMBRANA","51","KABUPATEN"
"51.03","BADUNG","51","KABUPATEN"
"51.05","KLUNGKUNG","51","KABUPATEN"
"51.07","KARANGASEM","51","KABUPATEN"
"51.71","DENPASAR","51","KOTA"
"52.01","LOMBOK BARAT","52","KABUPATEN"
"52.02","LOMBOK TENGAH","52","KABUPATEN"
"52.03","LOMBOK TIMUR","52","KABUPATEN"
"52.04","SUMBAWA","52","KABUPATEN"
"52.05","DOMPU","52","KABUPATEN"
"52.06","BIMA","52","KABUPATEN"
"52.07","SUMBAWA BARAT","52","KABUPATEN"
"52.08","LOMBOK UTARA","52","KABUPATEN"
"53.01","KUPANG","53","KABUPATEN"
"53.02","KAB TIMOR TENGAH SELATAN","53","KABUPATEN"
"53.05","ALOR","53","KABUPATEN"
"53.06","FLORES TIMUR","53","KABUPATEN"
"53.07","SIKKA","53","KABUPATEN"
"53.08","ENDE","53","KABUPATEN"
"53.09","NGADA","53","KABUPATEN"
"53.10","MANGGARAI","53","KABUPATEN"
"53.11","SUMBA TIMUR","53","KABUPATEN"
"53.12","SUMBA BARAT","53","KABUPATEN"
"53.13","LEMBATA","53","KABUPATEN"
"53.14","ROTE NDAO","53","KABUPATEN"
"53.15","MANGGARAI BARAT","53","KABUPATEN"
"53.16","NAGEKEO","53","KABUPATEN"
"53.17","SUMBA TENGAH","53","KABUPATEN"
"53.20","SABU RAIJUA","53","KABUPATEN"
"53.21","UU. No. 3 Tahun 2013.","53","KABUPATEN"
"61.01","SAMBAS","61","KABUPATEN"
"61.02","MEMPAWAH","61","KABUPATEN"
"61.03","SANGGAU","61","KABUPATEN"
"61.04","KETAPANG","61","KABUPATEN"
"61.07","BENGKAYANG","61","KABUPATEN"
"61.11","KAYONG UTARA","61","KABUPATEN"
"61.12","KUBU RAYA","61","KABUPATEN"
"61.71","PONTIANAK","61","KOTA"
"61.72","SINGKAWANG","61","KOTA"
"62.01","KOTAWARINGIN BARAT","62","KABUPATEN"
"62.02","KOTAWARINGIN TIMUR","62","KABUPATEN"
"62.03","KAPUAS","62","KABUPATEN"
"62.04","BARITO SELATAN","62","KABUPATEN"
"62.06","KATINGAN","62","KABUPATEN"
"62.08","SUKAMARA","62","KABUPATEN"
"62.11","PULANG PISAU","62","KABUPATEN"
"62.12","MURUNG RAYA","62","KABUPATEN"
"62.71","PALANGKARAYA","62","KOTA"
"63.01","TANAH LAUT","63","KABUPATEN"
"63.02","KOTABARU","63","KABUPATEN"
"63.03","BANJAR","63","KABUPATEN"
"63.04","BARITO KUALA","63","KABUPATEN"
"63.10","TANAH BUMBU","63","KABUPATEN"
"63.71","BANJARMASIN","63","KOTA"
"64.01","PASER","64","KABUPATEN"
"64.02","KUTAI KARTANEGARA","64","KABUPATEN"
"64.03","BERAU","64","KABUPATEN"
"64.07","KUTAI BARAT","64","KABUPATEN"
"64.08","KUTAI TIMUR","64","KABUPATEN"
"64.09","PENAJAM PASER UTARA","64","KABUPATEN"
"64.71","BALIKPAPAN","64","KOTA"
"64.72","SAMARINDA","64","KOTA"
"64.74","BONTANG","64","KOTA"
"65.01","BULUNGAN","65","KABUPATEN"
"65.02","MALINAU","65","KABUPATEN"
"65.03","NUNUKAN","65","KABUPATEN"
"65.04","TANA TIDUNG","65","KABUPATEN"
"65.71","TARAKAN","65","KOTA"
"71.01","BOLAANG MONGONDOW","71","KABUPATEN"
"71.02","MINAHASA","71","KABUPATEN"
"71.03","KEPULAUAN SANGIHE","71","KABUPATEN"
"71.04","KEPULAUAN TALAUD","71","KABUPATEN"
"71.06","MINAHASA UTARA","71","KABUPATEN"
"71.07","MINAHASA TENGGARA","71","KABUPATEN"
"71.08","BOLAANG MONGONDOW UTARA","71","KABUPATEN"
"71.09","KEP. SIAU TAGULANDANG BIARO","71","KABUPATEN"
"71.10","BOLAANG MONGONDOW TIMUR","71","KABUPATEN"
"71.11","BOLAANG MONGONDOW SELATAN","71","KABUPATEN"
"71.71","MANADO","71","KOTA"
"71.72","BITUNG","71","KOTA"
"72.01","BANGGAI","72","KABUPATEN"
"72.03","DONGGALA","72","KABUPATEN"
"72.04","TOLI TOLI","72","KABUPATEN"
"72.05","BUOL","72","KABUPATEN"
"72.06","MOROWALI","72","KABUPATEN"
"72.07","BANGGAI KEPULAUAN","72","KABUPATEN"
"72.08","PARIGI MOUTONG","72","KABUPATEN"
"72.09","TOJO UNA UNA","72","KABUPATEN"
"72.10","SIGI","72","KABUPATEN"
"72.11","BANGGAI LAUT","72","KABUPATEN"
"73.01","KEPULAUAN SELAYAR","73","KABUPATEN"
"73.02","BULUKUMBA","73","KABUPATEN"
"73.04","JENEPONTO","73","KABUPATEN"
"73.05","TAKALAR","73","KABUPATEN"
"73.06","GOWA","73","KABUPATEN"
"73.08","BONE","73","KABUPATEN"
"73.10","PANGKAJENE DAN KEPULAUAN","73","KABUPATEN"
"73.11","BARRU","73","KABUPATEN"
"73.13","WAJO","73","KABUPATEN"
"73.15","PINRANG","73","KABUPATEN"
"73.17","PP. No. 80/2005 (pemindahan Ibukota).","73","KABUPATEN"
"73.22","LUWU UTARA","73","KABUPATEN"
"73.24","LUWU TIMUR","73","KABUPATEN"
"73.71","MAKASSAR","73","KOTA"
"73.73","PALOPO","73","KOTA"
"74.01","KOLAKA","74","KABUPATEN"
"74.02","KONAWE","74","KABUPATEN"
"74.03","MUNA","74","KABUPATEN"
"74.04","BUTON","74","KABUPATEN"
"74.05","KONAWE SELATAN","74","KABUPATEN"
"74.06","BOMBANA","74","KABUPATEN"
"74.07","WAKATOBI","74","KABUPATEN"
"74.08","KOLAKA UTARA","74","KABUPATEN"
"74.09","KONAWE UTARA","74","KABUPATEN"
"74.12","KONAWE KEPULAUAN","74","KABUPATEN"
"74.13","MUNA BARAT","74","KABUPATEN"
"74.14","BUTON TENGAH","74","KABUPATEN"
"74.71","KENDARI","74","KOTA"
"74.72","BAU BAU","74","KOTA"
"75.02","BOALEMO","75","KABUPATEN"
"75.04","POHUWATO","75","KABUPATEN"
"75.05","GORONTALO UTARA","75","KABUPATEN"
"76.01","PASANGKAYU","76","KABUPATEN"
"76.02","MAMUJU","76","KABUPATEN"
"76.04","POLEWALI MANDAR","76","KABUPATEN"
"76.05","MAJENE","76","KABUPATEN"
"76.06","MAMUJU TENGAH","76","KABUPATEN"
"81.01","MALUKU TENGAH","81","KABUPATEN"
"81.02","MALUKU TENGGARA","81","KABUPATEN"
"81.03","KEPULAUAN TANIMBAR","81","KABUPATEN"
