code,name,districtCode,type
"11.06.03.2027","Seureumo","11.06.03","DESA"
"11.06.03.2028","Ulee Kareung","11.06.03","DESA"
"11.06.03.2029","LAMBEUTONG","11.06.03","DESA"
"11.06.03.2030","Lampupok Baro","11.06.03","DESA"
"11.06.03.2031","LAMPUPOK RAYA","11.06.03","DESA"
"11.06.03.2032","Seulangai","11.06.03","DESA"
"11.06.03.2033","RITING","11.06.03","DESA"
"11.06.03.2034","Sihom Lhok","11.06.03","DESA"
"11.06.03.2035","Sihom Cot","11.06.03","DESA"
"11.06.03.2036","Seuot Baroh","11.06.03","DESA"
"11.06.03.2037","Seuot Tunong","11.06.03","DESA"
"11.06.03.2038","Lampanah Ranjo","11.06.03","DESA"
"11.06.03.2039","Lampanah Teungoh","11.06.03","DESA"
"11.06.03.2040","Lampanah Dayah","11.06.03","DESA"
"11.06.03.2041","LAMPANAH BARO","11.06.03","DESA"
"11.06.03.2042","Lampanah Tunong","11.06.03","DESA"
"11.06.03.2043","GROET BLANG","11.06.03","DESA"
"11.06.03.2044","GROET MANYANG","11.06.03","DESA"
"11.06.03.2045","Groet Baro","11.06.03","DESA"
"11.06.03.2046","Jruek Bak Kreh","11.06.03","DESA"
"11.06.03.2047","JRUEK BALEE","11.06.03","DESA"
"11.06.03.2049","Mon Alue","11.06.03","DESA"
"11.06.03.2050","LAMBEUNOT","11.06.03","DESA"
"11.06.03.2051","ULEE UE","11.06.03","DESA"
"11.06.03.2052","LAMSIOT","11.06.03","DESA"
"11.06.03.2053","Lingom","11.06.03","DESA"
"11.06.04.2001","PEUKAN SEULIMEUM","11.06.04","DESA"
"11.06.04.2002","Keunaloi","11.06.04","DESA"
"11.06.04.2003","Lhieb","11.06.04","DESA"
"11.06.04.2004","Alue Gintong","11.06.04","DESA"
"11.06.04.2005","GAMPONG SEULIMEUM","11.06.04","DESA"
"11.06.04.2006","Data Gaseu","11.06.04","DESA"
"11.06.04.2007","Rabo","11.06.04","DESA"
"11.06.04.2008","GAMPONG RAYA","11.06.04","DESA"
"11.06.04.2009","LAMJRUEN","11.06.04","DESA"
"11.06.04.2010","Buga","11.06.04","DESA"
